ID,Station Name,Address,Total Docks,Docks in Service,Status,Latitude,Longitude,Location
271,Cottage Grove Ave & 43rd St,Cottage Grove Ave & 43rd St,11,11,In Service,41.816499,-87.606582,"(41.816499, -87.606582)"
272,Indiana Ave & 31st St,Indiana Ave & 31st St,11,11,In Service,41.838842,-87.621857,"(41.838842, -87.621857)"
273,Michigan Ave & 18th St,Michigan Ave & 18th St,15,15,In Service,41.857937,-87.623633,"(41.857937, -87.623633)"
274,Racine Ave & 15th St,Racine Ave & 15th St,15,15,In Service,41.861267,-87.656625,"(41.861267, -87.656625)"
275,Ashland Ave & 13th St,Ashland Ave & 13th St,15,15,In Service,41.865234,-87.666507,"(41.865234, -87.666507)"
276,California Ave & North Ave,California Ave & North Ave,11,11,In Service,41.91044,-87.6972,"(41.91044, -87.6972)"
277,Ashland Ave & Grand Ave,Off Street,15,15,In Service,41.891072,-87.666611,"(41.891072, -87.666611)"
278,Wallace Ave & 35th St,On Street,15,14,In Service,41.830629,-87.64129,"(41.830629, -87.64129)"
279,Halsted St & 35th St,Halsted St & 35th St,15,15,In Service,41.830661,-87.647172,"(41.830661, -87.647172)"
280,Morgan St & 31st St,Morgan St & 31st St,11,10,In Service,41.8378,-87.65114,"(41.8378, -87.65114)"
281,Western Ave & 24th St,Western Ave & 24th St,15,15,In Service,41.84847,-87.685109,"(41.84847, -87.685109)"
282,Halsted St & Maxwell St,Halsted St & Maxwell St,15,15,In Service,41.86458,-87.64693,"(41.86458, -87.64693)"
283,LaSalle St & Jackson Blvd,LaSalle St & Jackson Blvd,23,23,In Service,41.87817,-87.631985,"(41.87817, -87.631985)"
284,Michigan Ave & Jackson Blvd,Michigan Ave & Jackson Blvd,23,23,In Service,41.87785,-87.62408,"(41.87785, -87.62408)"
285,Wood St & Grand Ave,On Street,15,15,In Service,41.89113,-87.67203,"(41.89113, -87.67203)"
286,Franklin St & Quincy St,Franklin St & Quincy St,23,23,In Service,41.878724,-87.634793,"(41.878724, -87.634793)"
287,Franklin St & Arcade Pl,Franklin St & Arcade Pl,27,27,In Service,41.881131,-87.635185,"(41.881131, -87.635185)"
288,Larrabee St & Armitage Ave,Larrabee St & Armitage Ave,11,11,In Service,41.91797,-87.64368,"(41.91797, -87.64368)"
289,Wells St & Concord Ln,Wells St & Concord Ln,19,19,In Service,41.912202,-87.634664,"(41.912202, -87.634664)"
290,Kedzie Ave & Palmer Ct,Kedzie Ave & Palmer Ct,15,15,In Service,41.921525,-87.707322,"(41.921525, -87.707322)"
291,Wells St & Evergreen Ave,Wells St & Evergreen Ave,19,19,In Service,41.906724,-87.63483,"(41.906724, -87.63483)"
292,Southport Ave & Clark St,Southport Ave & Clark St,11,11,In Service,41.957081,-87.664199,"(41.957081, -87.664199)"
293,Broadway & Wilson Ave,Broadway & Wilson Ave,19,19,In Service,41.965287,-87.658774,"(41.965287, -87.658774)"
294,Broadway & Berwyn Ave,Broadway & Berwyn Ave,15,15,In Service,41.978353,-87.659753,"(41.978353, -87.659753)"
295,Broadway & Argyle St,Broadway & Argyle St,15,15,In Service,41.972972,-87.659637,"(41.972972, -87.659637)"
296,Broadway & Belmont Ave,Broadway & Belmont Ave,15,15,In Service,41.940106,-87.645451,"(41.940106, -87.645451)"
297,Paulina St & Montrose Ave,Paulina St & Montrose Ave,15,15,In Service,41.961507,-87.671387,"(41.961507, -87.671387)"
298,Lincoln Ave & Belle Plaine Ave,Lincoln Ave & Belle Plaine Ave,15,15,In Service,41.955927,-87.679259,"(41.955927, -87.679259)"
299,Halsted St & Roscoe St,Halsted St & Roscoe St,15,15,In Service,41.943662,-87.648917,"(41.943662, -87.648917)"
300,Broadway & Barry Ave,Broadway & Barry Ave,15,14,In Service,41.937739,-87.644094,"(41.937739, -87.644094)"
301,Clark St & Schiller St,Clark St & Schiller St,19,19,In Service,41.907993,-87.631501,"(41.907993, -87.631501)"
302,Sheffield Ave & Wrightwood Ave,Sheffield Ave & Wrightwood Ave,19,19,In Service,41.928712,-87.653833,"(41.928712, -87.653833)"
303,Broadway & Cornelia Ave,Broadway & Cornelia Ave,15,15,In Service,41.945512,-87.64598,"(41.945512, -87.64598)"
304,Halsted St & Waveland Ave,Halsted St & Waveland Ave,15,15,In Service,41.949333,-87.649634,"(41.949333, -87.649634)"
305,Western Ave & Division St,Western Ave & Division St,15,15,In Service,41.902893,-87.687275,"(41.902893, -87.687275)"
306,Sheridan Rd & Buena Ave,Sheridan Rd & Buena Ave,15,15,In Service,41.9584,-87.65423,"(41.9584, -87.65423)"
307,Southport Ave & Clybourn Ave,Southport Ave & Clybourn Ave,15,15,In Service,41.921004,-87.663257,"(41.921004, -87.663257)"
308,Seeley Ave & Roscoe St,Seeley Ave & Roscoe St,11,11,In Service,41.943403,-87.679618,"(41.943403, -87.679618)"
309,Leavitt St & Armitage Ave,Leavitt St & Armitage Ave,11,11,In Service,41.917805,-87.682437,"(41.917805, -87.682437)"
310,Damen Ave & Charleston St,Damen Ave & Charleston St,11,10,In Service,41.920082,-87.677855,"(41.920082, -87.677855)"
311,Lincoln Ave & Eastwood Ave,Lincoln Ave & Eastwood Ave,15,15,In Service,41.96583,-87.68651,"(41.96583, -87.68651)"
312,Clarendon Ave & Gordon Ter,Clarendon Ave & Gordon Ter,15,15,In Service,41.957879,-87.649519,"(41.957879, -87.649519)"
313,Lakeview Ave & Fullerton Pkwy,Lakeview Ave & Fullerton Pkwy,19,19,In Service,41.925858,-87.638973,"(41.925858, -87.638973)"
314,Ravenswood Ave & Berteau Ave,Ravenswood Ave & Berteau Ave,15,14,In Service,41.957921,-87.673567,"(41.957921, -87.673567)"
315,Leavitt St & Hirsch St,Leavitt St & Hirsch St,11,11,In Service,41.906717,-87.682779,"(41.906717, -87.682779)"
316,Damen Ave & Sunnyside Ave,Damen Ave & Sunnyside Ave,19,19,In Service,41.96325,-87.679258,"(41.96325, -87.679258)"
317,Wood St & Taylor St,Wood St & Taylor St,15,15,In Service,41.869154,-87.671045,"(41.869154, -87.671045)"
318,Southport Ave & Irving Park Rd,Southport Ave & Irving Park Rd,15,15,In Service,41.954177,-87.664358,"(41.954177, -87.664358)"
319,Greenview Ave & Diversey Pkwy,Greenview Ave & Diversey Pkwy,15,14,In Service,41.932595,-87.665939,"(41.932595, -87.665939)"
320,Loomis St & Lexington St,Loomis St & Lexington St,15,15,In Service,41.872187,-87.661501,"(41.872187, -87.661501)"
321,Wabash Ave & 8th St,Wabash Ave & 8th St,19,18,In Service,41.871962,-87.626106,"(41.871962, -87.626106)"
322,Kimbark Ave & 53rd St,Kimbark Ave & 53rd St,15,15,In Service,41.799568,-87.594747,"(41.799568, -87.594747)"
323,Sheridan Rd & Lawrence Ave,Sheridan Rd & Lawrence Ave,15,14,In Service,41.969517,-87.654691,"(41.969517, -87.654691)"
324,Stockton Dr & Wrightwood Ave,Stockton Dr & Wrightwood Ave,15,15,In Service,41.93132,-87.638742,"(41.93132, -87.638742)"
325,Clark St & Winnemac Ave,Clark St & Winnemac Ave,15,15,In Service,41.973385,-87.668365,"(41.973385, -87.668365)"
326,Clark St & Leland Ave,Clark St & Leland Ave,11,11,In Service,41.967096,-87.667429,"(41.967096, -87.667429)"
327,Sheffield Ave & Webster Ave,Sheffield Ave & Webster Ave,19,19,In Service,41.921687,-87.653714,"(41.921687, -87.653714)"
328,Ellis Ave & 58th St,Ellis Ave & 58th St,15,15,In Service,41.788746,-87.601334,"(41.788746, -87.601334)"
329,Lake Shore Dr & Diversey Pkwy,Lake Shore Dr & Diversey Pkwy,15,15,In Service,41.932684,-87.63625,"(41.932684, -87.63625)"
330,Lincoln Ave & Addison St,Lincoln Ave & Addison St,19,19,In Service,41.946176,-87.673308,"(41.946176, -87.673308)"
331,Halsted St & Blackhawk St,Halsted St & Blackhawk St,19,19,In Service,41.90854,-87.648568,"(41.90854, -87.648568)"
332,Halsted St & Diversey Pkwy,Halsted St & Diversey Pkwy,15,14,In Service,41.933341,-87.648747,"(41.933341, -87.648747)"
333,Ashland Ave & Blackhawk St,Ashland Ave & Blackhawk St,15,15,In Service,41.907066,-87.667252,"(41.907066, -87.667252)"
334,Lake Shore Dr & Belmont Ave,Lake Shore Dr & Belmont Ave,19,18,In Service,41.940775,-87.639192,"(41.940775, -87.639192)"
335,Calumet Ave & 35th St,Calumet Ave & 35th St,15,15,In Service,41.831379,-87.618034,"(41.831379, -87.618034)"
336,Cottage Grove Ave & 47th St,Off Street,15,15,In Service,41.809855,-87.606755,"(41.809855, -87.606755)"
337,Clark St & Chicago Ave,Clark St & Chicago Ave,19,19,In Service,41.896544,-87.630931,"(41.896544, -87.630931)"
338,Calumet Ave & 18th St,Calumet Ave & 18th St,15,15,In Service,41.857611,-87.619407,"(41.857611, -87.619407)"
339,Emerald Ave & 31st St,Emerald Ave & 31st St,11,11,In Service,41.838198,-87.645143,"(41.838198, -87.645143)"
340,Clark St & Wrightwood Ave,Clark St & Wrightwood Ave,15,15,In Service,41.929546,-87.643118,"(41.929546, -87.643118)"
341,Adler Planetarium,Off Street,19,19,In Service,41.866095,-87.607267,"(41.866095, -87.607267)"
342,Wolcott Ave & Polk St,Wolcott Ave & Polk St,15,15,In Service,41.871262,-87.673688,"(41.871262, -87.673688)"
343,Racine Ave & Wrightwood Ave,Racine Ave & Wrightwood Ave,15,14,In Service,41.928887,-87.658971,"(41.928887, -87.658971)"
344,Wolcott Ave & Lawrence Ave,Wolcott Ave & Lawrence Ave,15,15,In Service,41.968641,-87.676335,"(41.968641, -87.676335)"
345,Lake Park Ave & 56th St,Lake Park Ave & 56th St,15,15,In Service,41.793242,-87.587782,"(41.793242, -87.587782)"
346,Ada St & Washington Blvd,Ada St & Washington Blvd,15,15,In Service,41.88283,-87.661206,"(41.88283, -87.661206)"
347,Ashland Ave & Grace St,Ashland Ave & Grace St,15,15,In Service,41.950687,-87.6687,"(41.950687, -87.6687)"
348,California Ave & 21st St,California Ave & 21st St,15,15,In Service,41.854016,-87.695445,"(41.854016, -87.695445)"
349,Halsted St & Wrightwood Ave,Halsted St & Wrightwood Ave,15,15,In Service,41.929143,-87.649077,"(41.929143, -87.649077)"
350,Ashland Ave & Chicago Ave,Ashland Ave & Chicago Ave,15,13,In Service,41.895966,-87.667747,"(41.895966, -87.667747)"
351,Cottage Grove Ave & 51st St,Off Street,15,15,In Service,41.803038,-87.606615,"(41.803038, -87.606615)"
